,id,followers,genres,name,popularity
144138,6eUKZXaKkcviH0Ku9w2n3V,78900234.0,"['pop', 'uk pop']",Ed Sheeran,92
144485,66CXWjxzNUsdJxJ2JdwvnR,61301006.0,"['pop', 'post-teen pop']",Ariana Grande,95
313676,3TVXtAsR1Inumwj472S9r4,54416812.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake,98
144481,1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,100
144488,7dGJo4pcD2V6oG8kP0tJRR,43747833.0,"['detroit hip hop', 'hip hop', 'rap']",Eminem,94
313508,5pKCCKE2ajJHZ9KAiaK11H,42244011.0,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']",Rihanna,92
126658,6qqNVTkY8uBg9cP3Jd7DAH,41792604.0,"['electropop', 'pop']",Billie Eilish,92
126338,06HL4z0CvFAxyc27GXpf02,38869193.0,"['pop', 'post-teen pop']",Taylor Swift,98
126339,53XhwfbYqKCa1cC15pYq2q,33665795.0,"['modern rock', 'rock']",Imagine Dragons,89
144496,1dfeR4HaWDbWqFHLkxsg1d,33483326.0,"['classic rock', 'glam rock', 'rock']",Queen,89
107321,7n2wHs1TKAczGzO7Dd2rGr,32419313.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,89
115489,4q3ewBCX7sLwd24euuV69X,32244734.0,"['latin', 'reggaeton', 'trap latino']",Bad Bunny,98
145802,246dkjvS1zLTtiykXe5h60,32167665.0,"['dfw rap', 'melodic rap', 'rap']",Post Malone,93
144484,3Nrfpe0tUJi4K4DXYWgMUX,31623813.0,"['k-pop', 'k-pop boy group']",BTS,96
144483,1Xyo4u8uXC1ZmMpatF05PJ,31308207.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,96
144494,04gDigrS5kc9YWfZHwBETP,30291109.0,"['pop', 'pop rock']",Maroon 5,91
144501,64KEffDW9EtZ1y2vBYgq8T,30244604.0,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",Marshmello,88
144490,0du5cEVh5yTK9QJze8zA0C,29899101.0,"['dance pop', 'pop', 'post-teen pop']",Bruno Mars,93
144147,4gzpq5DPGxSnKTe4SA8HAU,29753797.0,"['permanent wave', 'pop']",Coldplay,89
144518,7vk5e3vY1uw9plTHJAMwjN,28026432.0,['electro house'],Alan Walker,85
126409,1i8SpTcr7yvPOmcqrbnVXY,27772492.0,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Ozuna,93
144486,1vyhD5VmyZ7KMfW5gqLgo5,27286822.0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",J Balvin,95
142128,6vWDO969PvNqNYHIOW5v0m,27048881.0,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Beyoncé,88
144523,4dpARuHxo51G3z768sgnrY,26758344.0,"['british soul', 'pop', 'pop soul', 'uk pop']",Adele,85
144140,15UsOTVnJzReFVN1VCnxy4,26747778.0,"['emo rap', 'miami hip hop']",XXXTENTACION,92
126340,0C8ZW7ezQVs4URX5aX7Kqx,26692413.0,"['dance pop', 'pop', 'post-teen pop']",Selena Gomez,89
141409,4YRxDV8wJFPHPTeXepOstw,26249666.0,"['desi pop', 'filmi', 'modern bollywood']",Arijit Singh,85
144493,1r4hJ1h58CWwUQe3MxPuau,25073031.0,"['latin', 'reggaeton', 'reggaeton colombiano']",Maluma,91
144487,6M2wZ9GZgrQXHCFfjv46we,24123468.0,"['dance pop', 'pop', 'uk pop']",Dua Lipa,95
142829,4VMYDCV2IEDYJArk749S6m,22831280.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Daddy Yankee,91
142376,1Cs0zKBU1kc0i8ypK3B9ai,22429621.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",David Guetta,90
126221,7CajNmpbOovFoOoasH2HaY,21562562.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,87
142679,0EmeFodog0BfCgMzAIvKQp,21454012.0,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",Shakira,87
144522,4nDoRrQiYLoBzwC5BhVJzF,21080479.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",Camila Cabello,85
182103,0hCNtLu0JehylgoiP8L4Gh,20977302.0,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",Nicki Minaj,90
