,instagram,name,mln_followers,field,country
0,@instagram,Instagram,394,Social media platform,United States
1,@cristiano,Cristiano Ronaldo,293,Footballer,Portugal
2,@therock,Dwayne Johnson,242,Actor and professional wrestler,United States
3,@arianagrande,Ariana Grande,240,Musician and actress,United States
4,@kyliejenner,Kylie Jenner,238,"Television personality, model, businesswoman",United States
5,@selenagomez,Selena Gomez,236,"Musician, actress, producer and businesswoman",United States
6,@kimkardashian,Kim Kardashian,225,"Television personality, model, and businesswoman",United States
7,@leomessi,Lionel Messi,213,Footballer,Argentina
8,@beyonce,Beyoncé,182,Musician,United States
9,@justinbieber,Justin Bieber,176,Musician,Canada
10,@kendalljenner,Kendall Jenner,167,Model and television personality,United States
11,@natgeo,National Geographic,165,Magazine,United States
12,@taylorswift,Taylor Swift,160,Musician,United States
13,@jlo,Jennifer Lopez,156,Musician and actress,United States
14,@nike,Nike,152,Sportswear multinational,United States
15,@neymarjr,Neymar,151,Footballer,Brazil
16,@khloekardashian,Khloé Kardashian,150,Television personality and model,United States
17,@nickiminaj,Nicki Minaj,138,Musician and actress,Trinidad and Tobago
18,@mileycyrus,Miley Cyrus,133,Musician and actress,United States
19,@kourtneykardash,Kourtney Kardashian,124,Television personality and model,United States
20,@virat.kohli,Virat Kohli,123,Cricketer,India
21,@katyperry,Katy Perry,121,Musician,United States
22,@kevinhart4real,Kevin Hart,112,Comedian and actor,United States
23,@ddlovato,Demi Lovato,106,Musician and actor,United States
24,@theellenshow,Ellen DeGeneres,100,Comedian and television personality,United States
25,@realmadrid,Real Madrid CF,99,Football club,Spain
26,@fcbarcelona,FC Barcelona,97,Football club,Spain
27,@badgalriri,Rihanna,96,Musician and businesswoman,Barbados
28,@zendaya,Zendaya,95,Actress and musician,United States
29,@iamcardib,Cardi B,93,Musician,United States
30,@kingjames,LeBron James,86,Basketball player,United States
31,@billieeilish,Billie Eilish,86,Musician,United States
32,@chrisbrownofficial,Chris Brown,82,Musician,United States
33,@champagnepapi,Drake,81,Musician,Canada
34,@championsleague,UEFA Champions League,74,Club football competition,Europe
35,@shakira,Shakira,70,Musician,Colombia
36,@vindiesel,Vin Diesel,70,Actor,United States
37,@victoriassecret,Victoria's Secret,69,Lingerie brand,United States
38,@dualipa,Dua Lipa,66,Musician,United Kingdom
39,@nasa,NASA,66,Space agency,United States
40,@gigihadid,Gigi Hadid,66,Model,United States
41,@davidbeckham,David Beckham,66,Footballer,United Kingdom
42,@priyankachopra,Priyanka Chopra,63,Actress and musician,India
43,@shraddhakapoor,Shraddha Kapoor,62,Actress,India
44,@justintimberlake,Justin Timberlake,60,Musician and actor,United States
45,@shawnmendes,Shawn Mendes,60,Musician,Canada
46,@snoopdogg,Snoop Dogg,60,Musician,United States
47,@emmawatson,Emma Watson,59,Actress,United Kingdom
48,@maluma,Maluma,58,Musician,Colombia
49,@nehakakkar,Neha Kakkar,57,Musician,India
